n_delegados,Tiempod descifrado reto (ms),Tiempo verificacion consulta (ms),"Tiempo generacion G, P y G^x (ms)"
1,58.3029,4.701,3.4455
1,1.583,1.8096,1.4505
1,1.295,1.4978,1.1104
1,1.2497,0.8989,0.8714
1,1.2912,0.8837,1.0665
1,1.3322,0.8879,1.2311
1,2.9169,0.8119,1.7091
1,2.9047,0.8194,1.3854
1,3.2299,0.8011,12.1258
1,2.0278,0.8319,1.3159
1,1.3326,0.8607,1.578
1,1.0539,0.8803,1.5428
1,1.0656,0.8899,2.4632
1,1.1201,0.8797,1.3207
1,0.9926,1.1425,1.6654
1,0.8339,0.9517,2.4555
1,0.8472,0.8356,4.4137
1,0.8569,0.7768,2.1475
1,0.8693,0.7693,2.2638
1,0.7922,0.7741,3.1494
1,0.744,0.9163,3.1651
1,0.5715,0.8801,2.265
1,0.5082,0.8452,1.3531
1,0.5253,0.8241,2.5885
1,0.5565,0.9183,2.5367
1,0.5003,0.8062,1.3532
1,0.5477,0.8608,1.0545
1,0.5484,0.9013,2.6624
1,0.7796,1.2786,2.5005
1,0.4171,0.8963,1.4767
1,0.3138,0.9085,2.3421
1,0.2949,0.9171,1.7525
4,67.6438,16.4811,7.311
4,68.2935,16.6955,7.2832
4,67.8547,16.3466,7.2795
4,68.8059,16.5827,7.1676
4,1.0072,2.8478,4.4008
4,1.0298,2.3517,5.162
4,1.1209,2.1438,4.7377
4,1.0962,2.7656,4.9853
4,0.7087,2.358,2.1686
4,0.4736,2.1843,2.3327
4,0.6663,2.4795,2.1898
4,0.5048,1.8515,2.4239
4,1.0336,1.668,2.0838
4,0.6771,2.4378,1.8743
4,0.5221,2.9454,2.5775
4,0.548,1.9728,2.6269
4,0.622,1.7265,2.0527
4,0.4966,1.5568,1.9965
4,0.3535,1.6597,1.9177
4,0.5611,1.6828,2.3681
4,0.5509,1.3913,1.3873
4,0.6824,1.7515,1.7465
4,0.7585,1.4836,2.2026
4,0.5839,2.5189,2.674
4,0.5675,1.5337,2.2075
4,0.4859,1.3904,2.1923
4,0.3714,1.6631,2.1479
4,0.4915,1.2078,2.07
4,0.5611,1.1265,1.2418
4,0.4285,1.0954,1.7537
4,0.4233,0.9956,1.647
4,0.3852,1.2047,1.5164
8,109.2235,11.5957,7.0287
8,107.3309,11.0895,7.1783
8,109.4182,12.0039,9.5024
8,105.7395,11.6078,7.782
8,106.3841,11.077,6.7367
8,106.8362,11.6849,6.9198
8,106.2917,11.4385,6.9941
8,108.7024,12.6048,7.582
8,0.7515,1.5218,2.6983
8,1.1142,2.9391,3.4842
8,1.0703,2.2767,4.3737
8,0.51,2.2888,4.0017
8,0.5199,1.71,4.805
8,0.5053,1.8445,4.4191
8,0.4392,3.8904,5.4632
8,0.8022,3.5791,7.0542
8,0.7073,1.6803,3.2746
8,0.6085,2.2024,3.4911
8,0.5617,1.6792,4.357
8,0.4855,1.4527,4.4918
8,0.4551,1.8731,4.2711
8,0.422,2.5849,5.194
8,0.4244,3.452,4.8865
8,0.4509,3.6906,5.4185
8,0.5805,1.5132,2.462
8,0.632,1.9009,1.5276
8,1.1994,1.7922,2.5664
8,0.7031,1.4992,3.324
8,0.5951,1.933,3.1097
8,0.4323,1.2615,4.0668
8,0.4531,1.5036,4.2178
8,0.4599,1.1545,5.0123
32,165.6154,12.6525,4.8938
32,168.3162,18.0737,4.1207
32,169.5238,17.9534,7.8233
32,172.4654,23.6473,6.5835
32,174.9535,23.0223,6.1692
32,176.5815,14.6671,4.7713
32,177.8197,20.1192,7.6162
32,176.9515,14.4052,5.3492
32,181.608,21.4269,7.3907
32,190.4063,21.6854,6.9973
32,190.3102,27.9989,10.6517
32,190.046,28.5846,12.0109
32,192.2722,17.6344,7.1236
32,191.674,28.9885,10.4345
32,194.4225,23.6635,7.3256
32,197.3687,32.6125,11.5103
32,195.6429,29.9604,11.9424
32,196.1614,18.176,17.5542
32,195.2412,30.1207,15.7589
32,198.4193,18.0805,16.1688
32,195.3138,31.7584,9.2859
32,196.0822,20.2674,9.1298
32,200.2012,31.9412,8.1559
32,197.6303,32.2803,25.4003
32,196.0403,19.6703,28.1586
32,198.9925,22.9852,12.5035
32,199.9811,31.9558,19.7651
32,196.1753,26.4276,34.7431
32,200.0393,20.7431,30.2183
32,200.9263,33.5535,33.5901
32,196.6383,22.1427,26.5358
32,198.5949,28.399,37.7659
